# library,nid,name
sceUtility,0x67AF3428,sceUtilityMsgDialogShutdownStart
sceUtility,0x8874DBE0,sceUtilitySavedataGetStatus
sceUtility,0x91E70E35,sceUtilityNetconfUpdate
sceUtility,0x95FC253B,sceUtilityMsgDialogUpdate
sceUtility,0x9790B33C,sceUtilitySavedataShutdownStart
sceUtility,0x9A1C91D7,sceUtilityMsgDialogGetStatus
sceUtility,0xA5DA2406,sceUtilityGetSystemParamInt
sceUtility,0xD4B95FFB,sceUtilitySavedataUpdate
sceUtility,0xE49BFE92,sceUtilityUnloadModule
sceUtility,0xF3F76017,sceUtilityOskGetStatus
sceUtility,0xF6269B82,sceUtilityOskInitStart
sceUtility,0xF88155F6,sceUtilityNetconfShutdownStart
sceWlanDrv,0x0C622081,sceWlanGetEtherAddr
sceWlanDrv,0xD7763699,sceWlanGetSwitchState
